breakout_window,ema_trend_filter,atr_multiplier_sl,atr_multiplier_tp,min_candle_body_ratio,min_adx_15m,min_atr_threshold,final_balance,sharpe_ratio,num_trades,max_drawdown,win_rate
30,True,2.0,3.0,0.7,10,0.2,9444.69,1.7,508,10047.4,0
20,True,2.0,4.0,0.7,20,0.05,9712.31,1.62,456,10069.94,0
30,True,2.0,5.0,0.7,10,0.1,9185.07,1.62,442,10074.64,0
20,True,2.0,5.0,0.7,20,0.2,9176.31,1.58,422,10074.68,0
20,True,2.0,2.5,0.3,10,0.1,9611.06,2.14,996,10015.53,0
50,True,2.0,3.0,0.5,20,0.1,9754.49,1.68,540,10022.99,0
10,True,2.5,4.0,0.3,20,0.2,10832.65,1.88,714,10905.59,0
20,True,2.5,3.0,0.5,20,0.2,10195.25,1.78,634,10370.46,0
10,True,2.0,5.0,0.5,10,0.05,10117.08,2.02,758,10596.71,0
10,True,3.0,4.0,0.5,20,0.1,0.0,1.77,643,10358.08,0
50,True,3.0,5.0,0.5,20,0.1,10228.24,1.35,370,10293.75,0
20,True,3.0,4.0,0.3,20,0.05,0.0,1.66,589,10420.28,0
10,True,4.0,5.0,0.5,20,0.05,0.0,1.6,529,10571.87,0
20,True,3.0,5.0,0.5,20,0.05,0.0,1.53,475,10688.75,0
30,True,4.0,5.0,0.5,20,0.1,0.0,1.39,413,10203.98,0
30,True,2.5,4.0,0.7,20,0.1,9784.83,1.45,372,10081.01,0
30,True,2.0,5.0,0.7,20,0.1,9186.84,1.48,366,10074.64,0
30,True,2.0,5.0,0.5,20,0.2,9771.2,1.63,484,10049.62,0
30,True,4.0,5.0,0.5,10,0.05,0.0,1.49,471,10096.53,0
30,True,3.0,5.0,0.5,20,0.1,0.0,1.45,423,10184.88,0
50,True,3.0,4.0,0.5,20,0.1,10375.64,1.43,426,10546.12,0
50,True,3.0,5.0,0.3,10,0.2,10198.58,1.43,450,10484.42,0
20,True,2.5,4.0,0.7,20,0.05,9994.55,1.56,430,10183.5,0
50,True,3.0,5.0,0.3,10,0.05,10218.16,1.43,452,10500.78,0
30,True,2.5,4.0,0.7,20,0.05,9784.83,1.45,372,10081.01,0
50,True,4.0,5.0,0.5,20,0.1,0.0,1.3,363,10227.48,0
20,True,2.0,5.0,0.3,10,0.05,9803.72,1.9,700,10357.73,0
10,True,3.0,5.0,0.5,20,0.05,0.0,1.68,557,10756.79,0
10,True,3.0,4.0,0.3,20,0.2,0.0,1.8,687,10717.09,0
10,True,3.0,4.0,0.3,20,0.05,0.0,1.8,691,10751.91,0
30,True,2.5,4.0,0.5,20,0.05,10169.94,1.62,514,10274.45,0
50,True,2.0,5.0,0.7,20,0.05,9282.2,1.4,322,10084.17,0
10,True,2.5,5.0,0.3,20,0.1,10884.6,1.78,640,10919.9,0
20,True,2.0,2.5,0.5,10,0.1,9549.35,2.12,916,10064.59,0
50,True,2.5,3.0,0.3,20,0.05,9740.97,1.64,562,10046.01,0
50,True,3.0,4.0,0.3,10,0.05,10218.12,1.52,508,10457.2,0
10,True,2.0,3.0,0.7,10,0.2,9405.72,2.07,762,10037.56,0
10,True,2.5,4.0,0.7,20,0.05,9772.29,1.74,540,10090.63,0
50,True,2.0,4.0,0.5,20,0.1,9856.83,1.6,482,10124.92,0
30,True,4.0,5.0,0.5,10,0.2,0.0,1.49,469,10096.53,0
20,True,2.5,5.0,0.7,10,0.2,9875.49,1.61,468,10217.03,0
50,True,2.0,3.0,0.3,10,0.2,9837.94,1.82,656,10158.79,0
10,True,2.5,3.0,0.3,10,0.1,9930.59,2.12,996,10100.6,0
30,True,2.5,3.0,0.3,10,0.05,9609.14,1.85,728,10026.17,0
50,True,3.0,4.0,0.3,10,0.2,10176.59,1.52,502,10427.74,0
50,True,2.5,3.0,0.7,10,0.2,9599.81,1.51,414,10033.68,0
30,True,2.0,3.0,0.3,20,0.05,9570.44,1.84,676,10047.32,0
20,True,2.0,5.0,0.7,10,0.2,9363.78,1.72,502,10090.13,0
50,True,2.0,3.0,0.3,20,0.1,9780.59,1.73,596,10061.7,0
20,True,2.0,3.0,0.7,20,0.1,9776.12,1.67,488,10047.4,0
20,True,2.0,2.5,0.5,10,0.05,9549.35,2.12,916,10064.59,0
50,True,2.0,3.0,0.7,20,0.1,9694.46,1.47,378,10028.5,0
50,True,2.0,5.0,0.3,20,0.05,9829.01,1.55,458,10124.63,0
50,True,3.0,4.0,0.7,10,0.2,10003.17,1.4,358,10413.86,0
10,True,3.0,4.0,0.7,10,0.05,0.0,1.82,605,10062.68,0
30,True,2.0,4.0,0.5,10,0.1,9671.72,1.86,640,10072.33,0
50,True,2.0,3.0,0.5,10,0.1,9758.3,1.77,600,10080.36,0
20,True,4.0,5.0,0.3,20,0.2,0.0,1.47,481,10543.75,0
